"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"CANCELLED","123839109285575040_1","2025-02-19","Manipur","SYGA Baby Tights For Girls Soft Cotton Infant Leggings Toddler Solid Knit Stockings Socks Newborn Warm Crochet Pants (2 - 4 Years, White)","BabyLeggings-White-2-4Y","3-4 Years","1","260.0","260.0",
"DELIVERED","123839131225844416_1","2025-02-19","Maharashtra","SYGA 3 Pcs Baby Headband Set, Soft Stretchable Nylon Hairbands with Glitter Bow and Knotted Design for Newborn, Infant, and Toddler-0-3 Years (Peach)","HB-239","Free Size","1","180.0","175.0",
"DELIVERED","123839131225844416_2","2025-02-19","Maharashtra","SYGA 3 Pcs Baby Girl Headband Soft Flower Bow Strechable Hairband Suitable For Newborns, Infants, Toddlers and Kids 0-3 Years(Color - 1023)","HB-48","Free Size","1","245.0","238.0",
"DELIVERED","123839382888278784_1","2025-02-19","Andhra Pradesh","SYGA 3 Pcs Baby Headband, Flower Stretchable, Nylon HairBand for Newborn Infant Toddlers Kids 0-3 Year-","HB-116","Free Size","1","330.0","330.0",
"CANCELLED","123839428136430272_1","2025-02-19","Tamil Nadu","SYGA Stainless Steel Sink Strainer Basket with Handle 11cm/4.33inch Large Wide Rim Anti Clogging Mesh Drain Filter Vegetable Hair Catcher Drain Cover for Most Bathroom Kitchen Home Sinks Drain-Silver","KitchenSinkStrainer_Handle","Free Size","1","95.0","95.0",
"RTO_COMPLETE","123839523264465664_1","2025-02-19","Haryana","SYGA 3 Pcs Baby Headband Set, Soft Stretchable Nylon Bow and Flower Hairbands, Comfortable and Stylish Headscarf for Newborn, Infant, and Toddler (0-3 Years)  ","HB-229","Free Size","1","160.0","160.0",
"DELIVERED","123839880668373504_1","2025-02-19","Delhi","SYGA Bridal Princess Girl Tiara and Rhinestone Crown Headband Hair Accessories for Women Wedding Ceremony Party (Multicolor)","Crown-Multicolor","Free Size","1","420.0","408.0",
"DELIVERED","123840021706078592_1","2025-02-19","West Bengal","Syga Set Of 4 Decorative Baking Cake Stencils Tool Kit,Plastic,19.5 Cm,Silver","Set Of 4 Baking Cake Stencils Tool Kit","Free Size","1","83.0","83.0",
"DELIVERED","123840066421418752_1","2025-02-19","Karnataka","Syga 50 Pieces Multi Design 2 Holes Wooden Buttons Sewing DIY Craft Scrapbooking","50_CraftButtons_MultiDesign","Free Size","1","83.0","81.0",
"DELIVERED","123840399054891776_1","2025-02-19","Uttar Pradesh"," SYGA Baby Cap Flower Warm Knitted Streachable Hat Infant Toddler Baby Cap 0-3 Years - Khaki","BC-07","Free Size","1","161.0","157.0",
"DELIVERED","123840507931596608_1","2025-02-19","Himachal Pradesh","SYGA Baby Tights For Girls Soft Cotton Infant Leggings Toddler Solid Knit Socks Newborn Warm Crochet Pants Stockings - White 6-12 Months","BabyLeggings-White-6-12M","6-12 Months","1","260.0","260.0",
"DELIVERED","123840492270065480_1","2025-02-19","Delhi","SYGA 1 Piece Green Baby Rinser with 1 Piece Blue Baby Shampoo Shower Bath Cap","BathCombo_BlueGreen","Free Size","1","191.0","186.0",
"DELIVERED","123840671438408448_1","2025-02-19","Madhya Pradesh","SYGA Professional Sketch and Drawing Pencils ?Art Pencil Box Contains 12 Pieces Set B 2B 3B 4B 5B 6B 7B 8B HB H 2H F","PaintingPencils-NewCompass","Free Size","1","75.0","73.0",
"DELIVERED","123840687891538432_1","2025-02-19","Telangana","SYGA Girls Tights Ballet Dance Socks Cotton Pantyhose Leggings Solid Knitted Stockings For 4-6 Years (Size M/110 -120 CM, White)","GirlsStockings-White-M110-120","5-6 Years","1","260.0","253.0",
"DELIVERED","123840782007564672_1","2025-02-19","Uttar Pradesh","SYGA Manual Breast Pump with Feeding Nipple","ManualFeedingPump","Free Size","1","253.0","246.0",
"DELIVERED","123841141364034304_1","2025-02-19","Gujarat","SYGA Manual Breast Pump with Feeding Nipple","ManualFeedingPump","Free Size","1","253.0","253.0",
"DELIVERED","123841338482653571_1","2025-02-19","Delhi","SYGA Baby Headband Velvet Bow Shape Stretchable Hairband Suitable for Newborn Infant Toddler Kids 0 - 3 Year (purple)","BowHat_Purple","1-2 Years","1","112.0","109.0",
"DELIVERED","123841360670521728_1","2025-02-19","Andhra Pradesh","SYGA Girls Mesh Cotton Stockings, Mosquito-Proof Pantyhose with Bow Detail, Infant Leggings for 4-6 years old(Beige)","BL-232","4-5 Years","1","200.0","194.0",
"DELIVERED","123841744134630144_1","2025-02-19","Uttar Pradesh","SYGA 1 Piece Heavy Duty Carbon Steel Square Bread Loaf Cake Mould Pan Tray for Baking Non Sticky Tin Teflon Coating-22 cm * 4cm cake tins","Square CakePan","Free Size","1","129.0","129.0",
"DELIVERED","123841818709490048_1","2025-02-19","Karnataka","Baby Child Infant Kids Safety Safe Table Desk Corner Edge Cushions Thick Guard Protectors Pack of 12 (Off White)","Corner Guard Protectors_White","Free Size","1","110.0","110.0",
"DELIVERED","123841918652451584_1","2025-02-19","Tamil Nadu","SYGA Baking Stainless Steel Shaker Sieve Cup Manual Flour Sifter with Measuring Scale Mark for Flour Icing Sugar","FlourCup","Free Size","1","161.0","161.0",
"DELIVERED","123842201080105728_1","2025-02-19","Odisha","SYGA Infant Safety Lock (White) - Pack of 4 Stops","WhiteSafetyLock-4","Free Size","1","96.0","96.0",
"RTO_COMPLETE","123842282595183360_1","2025-02-19","Uttar Pradesh","SYGA Baby Headbands Nylon Flower Soft Stretchable Hairband for Newborn Infant Toddler Kids For 0 - 3 Year - Black","HB-Flower-Black","Free Size","1","105.0","105.0",
