Qty,sku,Items,shipment_id,Qty MRP
1,SashBelt_BirthdayQueen&Crown,1,11156220802,
1,BabyBlanket_Masroom,1,11155558701,
1,Goggles-Modern- Black,1,11153114295,
1,BabyTumbler_Green,1,11153105727,
1,SocksSet_3,1,11156619695,
1,BabyBlanket_PinkCloud,1,11156804687,
1,BathAccessories_2_Pink,1,11154256437,
1,18_PeachPinkHairClip,1,11156871748,
1,MilkPowderBox_Purple,1,11156684538,
1,BottleRack_Blue,1,11156457344,
1,24_MarkerPenSet,1,11156454253,
1,BabyBlanket_BlueDolphin,1,11155835412,
1,BabyBlanket_CrownPink,1,11156673602,
1,BabyBlanket_CrownYellow,1,11154964534,
1,18_PeachPinkHairClip,1,11156176836,
1,BabyBlanket_PinkCloud,1,11156273191,
1,BabyBlanket_Giraffe,1,11156157648,
1,Small_Steamer Plate,1,11155948992,
1,BabyBlanket_BlueDolphin,1,11156863922,
1,BottleRack_Pink,1,11156481687,
1,WalkingHarness_Red,1,11156810868,
1,BabyBlanket_Masroom,1,11156830112,
1,BabyBlanket_BlueCloud,1,11154687932,
1,SashBelt_BirthdayGirl&Crown_Bold,1,11156672111,
1,12_DoggieDoorGaurd,1,11156824458,
1,Goggles-Colourful- Black & Black,1,11155824998,
1,Goggles- SpiderWeb,1,11155545155,
1,BabyNailClipperScissor- Set2_Blue,1,11156880729,
1,WP-362,1,11155398604,
1,WP-362,1,11155290692,
1,ChildrenBackpack- SkyblueDinosaur,1,11156450446,
1,WP-159,1,11156661123,
,SashBelt_BirthdayQueen&Crown_Bold,1,11155826767,1
1,WP-456,1,11153176656,
1,WP-361,1,11155537631,
1,WP-362,1,11154997995,
1,UrinalBottle_Blue,1,11154966587,
1,Stainless Steel Steamer_Small,1,11156206618,
1,WP-318,1,11155870387,
1,2_SiliconBibs,1,11156654648,
1,WP-328,1,11155552595,
1,BabyNailClipperScissor- Set2_Blue,1,11156865051,
1,3_SiliconBibs,1,11156841089,
1,BabyNailClipperScissor- Set2_Blue,1,11156436320,
1,WP-167,1,11155837270,
1,WP-511,1,11153456916,
1,WP-116,1,11155881787,
1,WP-109,1,11154914583,
1,WP-175,1,11155031487,
1,SCHOOLBAG-58,1,11156667334,
1,WP-400,1,11154629799,
1,Goggles- SpiderWeb,1,11156442101,
,SashBelt_BirthdayQueen&Crown_Bold,1,11156616306,1
1,ChildrenBackpack- Excavator,1,11156488067,
1,ChildrenBackpack- Airplane,1,11156052403,
